"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-09,95974,monthly,265727,8.3,0.2,101.8,95974,435575,9.9,0.4,101.1,264400,9.1,0.3,101.3,221813,8.2,0.2,102.7,199792,4.8,-0.2,102.6,,,,,,,,,,,,,,,,,,,310613,7.0,-0.3,97.1,11320,263442,8.4,0.3,102.1,84653,2022-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-10,91660,monthly,265693,11.1,0.0,101.8,91660,436814,10.3,0.3,101.4,264669,12.2,0.1,101.4,221236,12.9,-0.3,102.4,199280,7.5,-0.3,102.3,,,,,,,,,,,,,,,,,,,311222,9.4,0.2,97.3,9901,263375,11.2,0.0,102.1,81759,2022-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-11,93069,monthly,265299,8.8,-0.1,101.7,93069,436328,8.7,-0.1,101.3,264298,9.6,-0.1,101.2,221174,10.4,0.0,102.4,198448,4.9,-0.4,101.9,,,,,,,,,,,,,,,,,,,315677,7.4,1.4,98.7,10002,262765,9.0,-0.2,101.8,83067,2022-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2022-12,87479,monthly,263190,7.3,-0.8,100.9,87479,431009,7.3,-1.2,100.1,262450,8.5,-0.7,100.5,219801,8.1,-0.6,101.7,197324,4.5,-0.6,101.3,,,,,,,,,,,,,,,,,,,307227,7.3,-2.7,96.1,14622,260942,7.2,-0.7,101.1,72857,2022-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-01,60608,monthly,260941,5.2,-0.9,100.0,60608,430764,5.7,-0.1,100.0,261086,6.2,-0.5,100.0,216073,5.6,-1.7,100.0,194805,2.2,-1.3,100.0,,,,,,,,,,,,,,,,,,,319822,8.9,4.1,100.0,4989,258013,5.0,-1.1,100.0,55619,2023-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-02,59690,monthly,258788,4.2,-0.8,99.2,59690,428190,5.3,-0.6,99.4,258204,4.9,-1.1,98.9,214287,4.6,-0.8,99.2,193426,0.9,-0.7,99.3,,,,,,,,,,,,,,,,,,,320447,6.2,0.2,100.2,5147,255738,4.1,-0.9,99.1,54543,2023-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-03,70607,monthly,255885,2.7,-1.1,98.1,70607,424426,3.6,-0.9,98.5,255807,3.3,-0.9,98.0,210299,2.2,-1.9,97.3,192269,1.0,-0.6,98.7,,,,,,,,,,,,,,,,,,,323135,7.2,0.8,101.0,7934,252594,2.4,-1.2,97.9,62673,2023-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-04,52097,monthly,256479,1.7,0.2,98.3,52097,424716,2.7,0.1,98.6,256474,2.7,0.3,98.2,211281,0.9,0.5,97.8,192356,-0.2,0.0,98.7,,,,,,,,,,,,,,,,,,,323505,7.7,0.1,101.2,5059,253197,1.4,0.2,98.1,47038,2023-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-05,56484,monthly,257330,0.9,0.3,98.6,56484,422381,1.2,-0.5,98.1,256263,1.0,-0.1,98.2,212695,0.5,0.7,98.4,195037,0.5,1.4,100.1,,,,,,,,,,,,,,,,,,,322938,7.3,-0.2,101.0,5576,254108,0.6,0.4,98.5,50908,2023-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-06,70796,monthly,258275,0.1,0.4,99.0,70796,423828,0.6,0.3,98.4,257278,0.6,0.4,98.5,214878,0.1,1.0,99.4,193937,-1.9,-0.6,99.6,,,,,,,,,,,,,,,,,,,313423,2.4,-2.9,98.0,9396,255517,-0.1,0.6,99.0,61400,2023-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-07,65177,monthly,261182,-0.7,1.1,100.1,65177,428922,0.0,1.2,99.6,261565,-0.1,1.7,100.2,216925,-1.0,1.0,100.4,195054,-2.1,0.6,100.1,,,,,,,,,,,,,,,,,,,326363,4.9,4.1,102.0,4086,257975,-1.0,1.0,100.0,61091,2023-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-08,72741,monthly,262602,-1.0,0.5,100.6,72741,431657,-0.5,0.6,100.2,262101,-0.5,0.2,100.4,218944,-1.1,0.9,101.3,195719,-2.3,0.3,100.5,,,,,,,,,,,,,,,,,,,323993,4.0,-0.7,101.3,4811,259559,-1.2,0.6,100.6,67930,2023-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-09,71120,monthly,261318,-1.7,-0.5,100.1,71120,428518,-1.6,-0.7,99.5,260519,-1.5,-0.6,99.8,217842,-1.8,-0.5,100.8,195619,-2.1,-0.1,100.4,,,,,,,,,,,,,,,,,,,320669,3.2,-1.0,100.3,6205,258368,-1.9,-0.5,100.1,64915,2023-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-10,68773,monthly,260129,-2.1,-0.5,99.7,68773,425957,-2.5,-0.6,98.9,260280,-1.7,-0.1,99.7,216282,-2.2,-0.7,100.1,194826,-2.2,-0.4,100.0,,,,,,,,,,,,,,,,,,,326811,5.0,1.9,102.2,5569,256857,-2.5,-0.6,99.6,63204,2023-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-11,67173,monthly,258368,-2.6,-0.7,99.0,67173,426134,-2.3,0.0,98.9,258799,-2.1,-0.6,99.1,214014,-3.2,-1.0,99.0,192701,-2.9,-1.1,98.9,,,,,,,,,,,,,,,,,,,327497,3.7,0.2,102.4,5656,254992,-3.0,-0.7,98.8,61517,2023-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2023-12,64072,monthly,256177,-2.7,-0.8,98.2,64072,418631,-2.9,-1.8,97.2,256370,-2.3,-0.9,98.2,213287,-3.0,-0.3,98.7,191890,-2.8,-0.4,98.5,,,,,,,,,,,,,,,,,,,315715,2.8,-3.6,98.7,8206,253225,-3.0,-0.7,98.1,55866,2023-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-01,51627,monthly,255972,-1.9,-0.1,98.1,51627,420315,-2.4,0.4,97.6,255737,-2.0,-0.2,98.0,212711,-1.6,-0.3,98.4,191646,-1.6,-0.1,98.4,,,,,,,,,,,,,,,,,,,325532,1.8,3.1,101.8,3565,252582,-2.1,-0.3,97.9,48062,2024-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-02,56881,monthly,254633,-1.6,-0.5,97.6,56881,415397,-3.0,-1.2,96.4,255295,-1.1,-0.2,97.8,212262,-0.9,-0.2,98.2,190328,-1.6,-0.7,97.7,,,,,,,,,,,,,,,,,,,323351,0.9,-0.7,101.1,4231,251285,-1.7,-0.5,97.4,52650,2024-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-03,66447,monthly,255082,-0.3,0.2,97.8,66447,416298,-1.9,0.2,96.6,254265,-0.6,-0.4,97.4,211943,0.8,-0.1,98.1,193000,0.4,1.4,99.1,,,,,,,,,,,,,,,,,,,323255,0.0,0.0,101.1,6625,251761,-0.3,0.2,97.6,59822,2024-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-04,60866,monthly,256478,0.0,0.5,98.3,60866,415853,-2.1,-0.1,96.5,256304,-0.1,0.8,98.2,213888,1.2,0.9,99.0,193853,0.8,0.4,99.5,,,,,,,,,,,,,,,,,,,322489,-0.3,-0.2,100.8,5213,253268,0.0,0.6,98.2,55653,2024-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-05,73527,monthly,258565,0.5,0.8,99.1,73527,419008,-0.8,0.8,97.3,258606,0.9,0.9,99.1,215670,1.4,0.8,99.8,195274,0.1,0.7,100.2,,,,,,,,,,,,,,,,,,,325351,0.7,0.9,101.7,6600,255316,0.5,0.8,99.0,66927,2024-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-06,71472,monthly,259585,0.5,0.4,99.5,71472,419358,-1.1,0.1,97.4,258910,0.6,0.1,99.2,217952,1.4,1.1,100.9,195694,0.9,0.2,100.5,,,,,,,,,,,,,,,,,,,317910,1.4,-2.3,99.4,9539,256776,0.5,0.6,99.5,61933,2024-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-07,79090,monthly,262479,0.5,1.1,100.6,79090,425199,-0.9,1.4,98.7,262908,0.5,1.5,100.7,220655,1.7,1.2,102.1,195740,0.4,0.0,100.5,,,,,,,,,,,,,,,,,,,329016,0.8,3.5,102.9,4799,259246,0.5,1.0,100.5,74291,2024-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-08,86431,monthly,265085,0.9,1.0,101.6,86431,429838,-0.4,1.1,99.8,264929,1.1,0.8,101.5,223062,1.9,1.1,103.2,197803,1.1,1.1,101.5,,,,,,,,,,,,,,,,,,,328542,1.4,-0.1,102.7,6092,262013,0.9,1.1,101.6,80339,2024-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-09,77070,monthly,264750,1.3,-0.1,101.5,77070,432642,1.0,0.7,100.4,265344,1.9,0.2,101.6,221758,1.8,-0.6,102.6,196260,0.3,-0.8,100.7,,,,,,,,,,,,,,,,,,,329005,2.6,0.1,102.9,6682,261636,1.3,-0.1,101.4,70388,2024-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-10,89291,monthly,265252,2.0,0.2,101.7,89291,432134,1.5,-0.1,100.3,265132,1.9,-0.1,101.5,222232,2.8,0.2,102.9,198015,1.6,0.9,101.6,,,,,,,,,,,,,,,,,,,332932,1.9,1.2,104.1,6596,261963,2.0,0.1,101.5,82694,2024-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-11,86488,monthly,264515,2.4,-0.3,101.4,86488,430747,1.1,-0.3,100.0,266381,2.9,0.5,102.0,221701,3.6,-0.2,102.6,195408,1.4,-1.3,100.3,,,,,,,,,,,,,,,,,,,330802,1.0,-0.6,103.4,6997,261296,2.5,-0.3,101.3,79490,2024-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2024-12,78572,monthly,263991,3.1,-0.2,101.2,78572,433653,3.6,0.7,100.7,264927,3.3,-0.5,101.5,221372,3.8,-0.1,102.5,193853,1.0,-0.8,99.5,,,,,,,,,,,,,,,,,,,332197,5.2,0.4,103.9,9562,260674,2.9,-0.2,101.0,69009,2024-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-01,66901,monthly,264936,3.5,0.4,101.5,66901,433587,3.2,0.0,100.7,266530,4.2,0.6,102.1,222203,4.5,0.4,102.8,194677,1.6,0.4,99.9,,,,,,,,,,,,,,,,,,,343301,5.5,3.3,107.3,3886,261108,3.4,0.2,101.2,63014,2025-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-02,74512,monthly,264771,4.0,-0.1,101.5,74512,431405,3.9,-0.5,100.1,266300,4.3,-0.1,102.0,222890,5.0,0.3,103.2,194706,2.3,0.0,99.9,,,,,,,,,,,,,,,,,,,340107,5.2,-0.9,106.3,4984,261134,3.9,0.0,101.2,69527,2025-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-03,134340,monthly,268019,5.1,1.2,102.7,134340,430077,3.3,-0.3,99.8,269386,5.9,1.2,103.2,227171,7.2,1.9,105.1,199186,3.2,2.3,102.2,,,,,,,,,,,,,,,,,,,342711,6.0,0.8,107.2,9989,264437,5.0,1.3,102.5,124350,2025-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-04,44021,monthly,260162,1.4,-2.9,99.7,44021,427892,2.9,-0.5,99.3,261888,2.2,-2.8,100.3,216126,1.0,-4.9,100.0,192319,-0.8,-3.4,98.7,,,,,,,,,,,,,,,,,,,342482,6.2,-0.1,107.1,3763,256068,1.1,-3.2,99.2,40257,2025-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-05,65367,monthly,264078,2.1,1.5,101.2,65367,431479,3.0,0.8,100.2,265527,2.7,1.4,101.7,221455,2.7,2.5,102.5,194620,-0.3,1.2,99.9,,,,,,,,,,,,,,,,,,,342064,5.0,-0.1,107.0,5634,260271,1.9,1.6,100.9,59732,2025-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-06,76455,monthly,266796,2.8,1.0,102.2,76455,434485,3.6,0.7,100.9,268157,3.6,1.0,102.7,224227,2.9,1.3,103.8,196942,0.6,1.2,101.1,,,,,,,,,,,,,,,,,,,339283,6.7,-0.8,106.1,9665,263350,2.6,1.2,102.1,66789,2025-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-07,82068,monthly,268843,2.4,0.8,103.0,82068,437752,3.0,0.8,101.6,270682,3.0,0.9,103.7,226346,2.6,0.9,104.8,197534,0.9,0.3,101.4,,,,,,,,,,,,,,,,,,,348465,5.9,2.7,109.0,4656,264953,2.2,0.6,102.7,77412,2025-07-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-08,85836,monthly,270712,2.1,0.7,103.7,85836,441215,2.6,0.8,102.4,273231,3.1,0.9,104.7,228451,2.4,0.9,105.7,197360,-0.2,-0.1,101.3,,,,,,,,,,,,,,,,,,,347413,5.7,-0.3,108.6,5271,267014,1.9,0.8,103.5,80565,2025-08-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-09,81117,monthly,269679,1.9,-0.4,103.3,81117,441264,2.0,0.0,102.4,271626,2.4,-0.6,104.0,227620,2.6,-0.4,105.3,196176,0.0,-0.6,100.7,,,,,,,,,,,,,,,,,,,343335,4.4,-1.2,107.4,5774,266171,1.7,-0.3,103.2,75343,2025-09-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-10,92313,monthly,269949,1.8,0.1,103.5,92313,441511,2.2,0.1,102.5,273292,3.1,0.6,104.7,227418,2.3,-0.1,105.3,195566,-1.2,-0.3,100.4,,,,,,,,,,,,,,,,,,,344544,3.5,0.4,107.7,5006,266382,1.7,0.1,103.2,87308,2025-10-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-11,76348,monthly,270937,2.4,0.4,103.8,76348,443343,2.9,0.4,102.9,274191,2.9,0.3,105.0,229022,3.3,0.7,106.0,195364,0.0,-0.1,100.3,,,,,,,,,,,,,,,,,,,350004,5.8,1.6,109.4,2495,267090,2.2,0.3,103.5,73854,2025-11-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2025-12,68313,monthly,268493,1.7,-0.9,102.9,68313,438855,1.2,-1.0,101.9,272450,2.8,-0.6,104.4,227526,2.8,-0.7,105.3,192477,-0.7,-1.5,98.8,,,,,,,,,,,,,,,,,,,337570,1.6,-3.6,105.5,2013,265275,1.8,-0.7,102.8,66301,2025-12-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2026-01,53673,monthly,268862,1.5,0.1,103.0,53673,439594,1.4,0.2,102.0,273449,2.6,0.4,104.7,227700,2.5,0.1,105.4,192204,-1.3,-0.1,98.7,,,,,,,,,,,,,,,,,,,350361,2.1,3.8,109.5,,264854,1.4,-0.2,102.7,,2026-01-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2026-02,57000,monthly,269750,1.9,0.3,103.4,57000,444298,3.0,1.1,103.1,274809,3.2,0.5,105.3,227447,2.0,-0.1,105.3,191655,-1.6,-0.3,98.4,,,,,,,,,,,,,,,,,,,363027,6.7,3.6,113.5,,265118,1.5,0.1,102.8,,2026-02-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2026-03,62162,monthly,268879,0.3,-0.3,103.0,62162,441615,2.7,-0.6,102.5,274291,1.8,-0.2,105.1,227753,0.3,0.1,105.4,190134,-4.5,-0.8,97.6,,,,,,,,,,,,,,,,,,,353157,3.0,-2.7,110.4,,264722,0.1,-0.1,102.6,,2026-03-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2026-04,50539,monthly,270891,4.1,0.7,103.8,50539,443394,3.6,0.4,102.9,276421,5.5,0.8,105.9,228747,5.8,0.4,105.9,193214,0.5,1.6,99.2,,,,,,,,,,,,,,,,,,,354190,3.4,0.3,110.7,,266788,4.2,0.8,103.4,,2026-04-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2026-05,52150,monthly,272044,3.0,0.4,104.3,52150,446545,3.5,0.7,103.7,277534,4.5,0.4,106.3,230020,3.9,0.6,106.5,193003,-0.8,-0.1,99.1,,,,,,,,,,,,,,,,,,,369759,8.1,4.4,115.6,,267183,2.7,0.1,103.6,,2026-05-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2026-06,,monthly,270677,1.5,-0.5,103.7,,440692,1.4,-1.3,102.3,276126,3.0,-0.5,105.8,230518,2.8,0.2,106.7,192190,-2.4,-0.4,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-01
United Kingdom,http://landregistry.data.gov.uk/id/region/united-kingdom,K02000001,2026-07,,monthly,272611,1.4,0.7,104.5,,444936,1.6,1.0,103.3,278555,2.9,0.9,106.7,231945,2.5,0.6,107.3,192704,-2.4,0.3,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-01
